Index,Date,Route,Classification,Donor,Aid (tons)
16075,4 Mar 2024,Land Crossings,Food,UNRWA,30
16076,4 Mar 2024,Land Crossings,Combined Aid,WCK,15
16077,4 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16078,4 Mar 2024,Land Crossings,Food,UNRWA,30
16079,4 Mar 2024,Land Crossings,Food,WFP,15
16080,4 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16081,4 Mar 2024,Land Crossings,Food,UNRWA,30
16082,4 Mar 2024,Land Crossings,Food,UNRWA,30
16083,4 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16084,4 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16085,4 Mar 2024,Land Crossings,Food,ICRC,20
16086,4 Mar 2024,Land Crossings,Food,UNRWA,30
16087,4 Mar 2024,Land Crossings,Food,WFP,15
16088,4 Mar 2024,Land Crossings,Food,UNRWA,30
16089,4 Mar 2024,Land Crossings,Shelter Equipment,UNICEF,15
16090,4 Mar 2024,Land Crossings,Food,WFP,15
16091,4 Mar 2024,Land Crossings,Food,WFP,15
16092,4 Mar 2024,Land Crossings,Food,WFP,15
16093,4 Mar 2024,Land Crossings,Food,UNRWA,30
16094,4 Mar 2024,Land Crossings,Food,UNRWA,30
16095,4 Mar 2024,Land Crossings,Food,ICRC,20
16096,4 Mar 2024,Land Crossings,Shelter Equipment,UNICEF,15
16097,4 Mar 2024,Land Crossings,Shelter Equipment,UNICEF,15
16098,4 Mar 2024,Land Crossings,Food,UNRWA,30
16099,4 Mar 2024,Land Crossings,Food,WFP,15
16100,4 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16101,4 Mar 2024,Land Crossings,Food,UNRWA,30
16102,4 Mar 2024,Land Crossings,Food,UNRWA,30
16103,4 Mar 2024,Land Crossings,Food,UNRWA,30
16104,4 Mar 2024,Land Crossings,Food,WFP,15
16105,4 Mar 2024,Land Crossings,Food,WFP,15
16106,4 Mar 2024,Land Crossings,Food,WCK,20
16107,4 Mar 2024,Land Crossings,Food,WCK,20
16108,4 Mar 2024,Land Crossings,Food,WFP,15
16109,4 Mar 2024,Land Crossings,Food,WFP,15
16110,4 Mar 2024,Land Crossings,Food,WFP,15
16111,4 Mar 2024,Land Crossings,Food,UNRWA,15
16112,4 Mar 2024,Land Crossings,Food,UNRWA,15
16113,4 Mar 2024,Land Crossings,Food,WCK,20
16114,4 Mar 2024,Land Crossings,Food,UNRWA,30
16115,4 Mar 2024,Land Crossings,Food,UNRWA,30
16116,4 Mar 2024,Land Crossings,Food,WFP,15
16117,4 Mar 2024,Land Crossings,Food,WFP,15
16118,4 Mar 2024,Land Crossings,Food,UNRWA,30
16119,4 Mar 2024,Land Crossings,Food,WFP,15
16120,4 Mar 2024,Land Crossings,Food,WFP,15
16121,4 Mar 2024,Land Crossings,Food,WFP,15
16122,4 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16123,4 Mar 2024,Land Crossings,Shelter Equipment,Save the Children,15
16124,4 Mar 2024,Land Crossings,Shelter Equipment,ICRC,15
16125,4 Mar 2024,Land Crossings,Food,WFP,15
16126,4 Mar 2024,Land Crossings,Shelter Equipment,Save the Children,15
16127,4 Mar 2024,Land Crossings,Food,WFP,15
16128,4 Mar 2024,Land Crossings,Food,WFP,15
16129,4 Mar 2024,Land Crossings,Food,UNRWA,15
16130,4 Mar 2024,Land Crossings,Food,UNRWA,15
16131,4 Mar 2024,Land Crossings,Shelter Equipment,WCK,15
16132,4 Mar 2024,Land Crossings,Food,UNRWA,30
16133,4 Mar 2024,Land Crossings,Food,UNRWA,15
16134,4 Mar 2024,Land Crossings,Food,UNRWA,15
16135,4 Mar 2024,Land Crossings,Food,WFP,15
16136,4 Mar 2024,Land Crossings,Food,UNRWA,30
16137,4 Mar 2024,Land Crossings,Food,WFP,15
16138,4 Mar 2024,Land Crossings,Food,WFP,15
16139,4 Mar 2024,Land Crossings,Food,WFP,15
16140,4 Mar 2024,Land Crossings,Shelter Equipment,Save the Children,15
16141,4 Mar 2024,Land Crossings,Food,WFP,15
16142,4 Mar 2024,Land Crossings,Food,WCK,20
16143,4 Mar 2024,Land Crossings,Food,WFP,15
16144,4 Mar 2024,Land Crossings,Food,WFP,15
16145,4 Mar 2024,Land Crossings,Food,UNRWA,15
16146,4 Mar 2024,Land Crossings,Food,UNRWA,15
16147,4 Mar 2024,Land Crossings,Shelter Equipment,Save the Children,15
16148,4 Mar 2024,Land Crossings,Shelter Equipment,Save the Children,15
16149,4 Mar 2024,Land Crossings,Food,WFP,15
16150,4 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16151,4 Mar 2024,Land Crossings,Food,UNRWA,15
16152,4 Mar 2024,Land Crossings,Food,Private sector,20
16153,4 Mar 2024,Land Crossings,Food,Private sector,20
16154,4 Mar 2024,Land Crossings,Food,Private sector,20
16155,4 Mar 2024,Land Crossings,Food,Private sector,20
16156,4 Mar 2024,Land Crossings,Food,Private sector,20
16157,4 Mar 2024,Land Crossings,Food,Private sector,20
16158,4 Mar 2024,Land Crossings,Food,Private sector,20
16159,4 Mar 2024,Land Crossings,Food,Private sector,20
16160,4 Mar 2024,Land Crossings,Food,Private sector,20
16161,4 Mar 2024,Land Crossings,Food,Private sector,20
16162,4 Mar 2024,Land Crossings,Food,Private sector,20
16163,4 Mar 2024,Land Crossings,Combined Aid,Turkey,15
16164,4 Mar 2024,Land Crossings,Food,Turkey,20
16165,4 Mar 2024,Land Crossings,Combined Aid,Turkey,15
16166,4 Mar 2024,Land Crossings,Food,Turkey,20
16167,4 Mar 2024,Land Crossings,Food,Turkey,20
16168,4 Mar 2024,Land Crossings,Food,Turkey,20
16169,4 Mar 2024,Land Crossings,Water,Turkey,20
16170,4 Mar 2024,Land Crossings,Food,China,20
16171,4 Mar 2024,Land Crossings,Food,Turkey,20
16172,4 Mar 2024,Land Crossings,Food,Turkey,20
16173,4 Mar 2024,Land Crossings,Water,Turkey,20
16174,4 Mar 2024,Land Crossings,Water,Turkey,20
16175,4 Mar 2024,Land Crossings,Food,Qatar,20
16176,4 Mar 2024,Land Crossings,Shelter Equipment,Qatar,10
16177,4 Mar 2024,Land Crossings,Combined Aid,CRS,15
16178,4 Mar 2024,Land Crossings,Combined Aid,CRS,15
16179,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16180,4 Mar 2024,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,15
16181,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16182,4 Mar 2024,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
16183,4 Mar 2024,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
16184,4 Mar 2024,Land Crossings,Water,Egyptian National Red Crescent Society,20
16185,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16186,4 Mar 2024,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
16187,4 Mar 2024,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
16188,4 Mar 2024,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
16189,4 Mar 2024,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
16190,4 Mar 2024,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
16191,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16192,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16193,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16194,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16195,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16196,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16197,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16198,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16199,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16200,4 Mar 2024,Land Crossings,Water,Egyptian National Red Crescent Society,20
16201,4 Mar 2024,Land Crossings,Water,Egyptian National Red Crescent Society,20
16202,4 Mar 2024,Land Crossings,Water,Egyptian National Red Crescent Society,20
16203,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16204,4 Mar 2024,Land Crossings,Shelter Equipment,Egyptian National Red Crescent Society,10
16205,4 Mar 2024,Land Crossings,Water,Egyptian National Red Crescent Society,20
16206,4 Mar 2024,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
16207,4 Mar 2024,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
16208,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16209,4 Mar 2024,Land Crossings,Combined Aid,Egyptian National Red Crescent Society,15
16210,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16211,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16212,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16213,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16214,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16215,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16216,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16217,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16218,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16219,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16220,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16221,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16222,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16223,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16224,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16225,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16226,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16227,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16228,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16229,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16230,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16231,4 Mar 2024,Land Crossings,UN and NGO equipment,Mixed donors,-
16232,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16233,4 Mar 2024,Land Crossings,Food,Egyptian National Red Crescent Society,20
16234,4 Mar 2024,Land Crossings,Fuel,UNOPS,45.551415
16235,4 Mar 2024,Land Crossings,Fuel,UNOPS,45.551415
16236,4 Mar 2024,Land Crossings,Fuel,UNOPS,45.551415
16237,4 Mar 2024,Land Crossings,Gas,Private sector,23
16238,4 Mar 2024,Land Crossings,Gas,Private sector,23
16239,4 Mar 2024,Land Crossings,Gas,Private sector,23
16240,4 Mar 2024,Land Crossings,Gas,Private sector,23
16241,5 Mar 2024,Land Crossings,Medical Supplies,WHO,10
16242,5 Mar 2024,Land Crossings,Food,WFP,15
16243,5 Mar 2024,Land Crossings,Medical Supplies,WHO,10
16244,5 Mar 2024,Land Crossings,Food,ICRC,20
16245,5 Mar 2024,Land Crossings,Shelter Equipment,IOM,15
16246,5 Mar 2024,Land Crossings,Food,WCK,20
16247,5 Mar 2024,Land Crossings,Food,UNRWA,30
16248,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16249,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,10
16250,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16251,5 Mar 2024,Land Crossings,Food,WFP,15
16252,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16253,5 Mar 2024,Land Crossings,Food,UNRWA,30
16254,5 Mar 2024,Land Crossings,Food,WCK,20
16255,5 Mar 2024,Land Crossings,Food,WFP,15
16256,5 Mar 2024,Land Crossings,Food,UNRWA,30
16257,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16258,5 Mar 2024,Land Crossings,Food,UNRWA,15
16259,5 Mar 2024,Land Crossings,Food,WFP,15
16260,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16261,5 Mar 2024,Land Crossings,Food,WFP,15
16262,5 Mar 2024,Land Crossings,Food,ICRC,30
16263,5 Mar 2024,Land Crossings,Medical Supplies,UNFPA,10
16264,5 Mar 2024,Land Crossings,Food,UNRWA,30
16265,5 Mar 2024,Land Crossings,Food,ICRC,20
16266,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16267,5 Mar 2024,Land Crossings,Food,UNRWA,15
16268,5 Mar 2024,Land Crossings,Food,WFP,15
16269,5 Mar 2024,Land Crossings,Food,UNRWA,30
16270,5 Mar 2024,Land Crossings,Food,WFP,15
16271,5 Mar 2024,Land Crossings,Food,UNRWA,30
16272,5 Mar 2024,Land Crossings,Food,WFP,15
16273,5 Mar 2024,Land Crossings,Food,UNRWA,30
16274,5 Mar 2024,Land Crossings,Food,UNRWA,30
16275,5 Mar 2024,Land Crossings,Food,UNRWA,30
16276,5 Mar 2024,Land Crossings,Shelter Equipment,IOM,15
16277,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16278,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,10
16279,5 Mar 2024,Land Crossings,Food,ICRC,20
16280,5 Mar 2024,Land Crossings,Shelter Equipment,IOM,15
16281,5 Mar 2024,Land Crossings,Medical Supplies,Mixed donors,10
16282,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,10
16283,5 Mar 2024,Land Crossings,Food,WFP,15
16284,5 Mar 2024,Land Crossings,Food,WFP,15
16285,5 Mar 2024,Land Crossings,Food,UNRWA,30
16286,5 Mar 2024,Land Crossings,Shelter Equipment,WCK,15
16287,5 Mar 2024,Land Crossings,Shelter Equipment,WCK,15
16288,5 Mar 2024,Land Crossings,Food,WFP,15
16289,5 Mar 2024,Land Crossings,Food,WFP,15
16290,5 Mar 2024,Land Crossings,Medical Supplies,WHO,10
16291,5 Mar 2024,Land Crossings,Food,WFP,15
16292,5 Mar 2024,Land Crossings,Food,WFP,15
16293,5 Mar 2024,Land Crossings,Food,UNRWA,15
16294,5 Mar 2024,Land Crossings,Combined Aid,IOM,15
16295,5 Mar 2024,Land Crossings,Food,WFP,15
16296,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16297,5 Mar 2024,Land Crossings,Food,UNRWA,15
16298,5 Mar 2024,Land Crossings,Food,UNRWA,30
16299,5 Mar 2024,Land Crossings,Food,WFP,30
16300,5 Mar 2024,Land Crossings,Food,UNRWA,30
16301,5 Mar 2024,Land Crossings,Food,WFP,15
16302,5 Mar 2024,Land Crossings,Food,WFP,15
16303,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,10
16304,5 Mar 2024,Land Crossings,Food,UNRWA,30
16305,5 Mar 2024,Land Crossings,Shelter Equipment,ICRC,15
16306,5 Mar 2024,Land Crossings,Food,UNRWA,30
16307,5 Mar 2024,Land Crossings,Medical Supplies,ANERA,20
16308,5 Mar 2024,Land Crossings,Food,UNRWA,30
16309,5 Mar 2024,Land Crossings,Food,WFP,15
16310,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16311,5 Mar 2024,Land Crossings,Food,UNRWA,30
16312,5 Mar 2024,Land Crossings,Food,WCK,20
16313,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,10
16314,5 Mar 2024,Land Crossings,Combined Aid,WCK,15
16315,5 Mar 2024,Land Crossings,Food,UNRWA,30
16316,5 Mar 2024,Land Crossings,Food,ICRC,20
16317,5 Mar 2024,Land Crossings,Food,UNRWA,30
16318,5 Mar 2024,Land Crossings,Food,WFP,15
16319,5 Mar 2024,Land Crossings,Food,ICRC,20
16320,5 Mar 2024,Land Crossings,Food,WFP,15
16321,5 Mar 2024,Land Crossings,Food,WFP,15
16322,5 Mar 2024,Land Crossings,Food,UNRWA,30
16323,5 Mar 2024,Land Crossings,Food,WFP,15
16324,5 Mar 2024,Land Crossings,Food,WFP,15
16325,5 Mar 2024,Land Crossings,Food,UNRWA,30
16326,5 Mar 2024,Land Crossings,Food,WFP,15
16327,5 Mar 2024,Land Crossings,Food,WFP,15
16328,5 Mar 2024,Land Crossings,Food,UNRWA,30
16329,5 Mar 2024,Land Crossings,Food,WFP,15
16330,5 Mar 2024,Land Crossings,Food,UNRWA,30
16331,5 Mar 2024,Land Crossings,Food,UNRWA,30
16332,5 Mar 2024,Land Crossings,Shelter Equipment,ICRC,15
16333,5 Mar 2024,Land Crossings,Shelter Equipment,ICRC,15
16334,5 Mar 2024,Land Crossings,Food,UNRWA,30
16335,5 Mar 2024,Land Crossings,Combined Aid,Terre des hommes,15
16336,5 Mar 2024,Land Crossings,Food,UNRWA,30
16337,5 Mar 2024,Land Crossings,Combined Aid,WCK,15
16338,5 Mar 2024,Land Crossings,Shelter Equipment,Save the Children,15
16339,5 Mar 2024,Land Crossings,Shelter Equipment,Save the Children,15
16340,5 Mar 2024,Land Crossings,Combined Aid,WCK,15
16341,5 Mar 2024,Land Crossings,Food,WFP,15
16342,5 Mar 2024,Land Crossings,Food,WFP,15
16343,5 Mar 2024,Land Crossings,Shelter Equipment,ICRC,15
16344,5 Mar 2024,Land Crossings,Food,WFP,15
16345,5 Mar 2024,Land Crossings,Food,WFP,15
16346,5 Mar 2024,Land Crossings,Shelter Equipment,ICRC,15
16347,5 Mar 2024,Land Crossings,Food,UNRWA,30
16348,5 Mar 2024,Land Crossings,Shelter Equipment,ICRC,15
16349,5 Mar 2024,Land Crossings,Food,UNRWA,30
16350,5 Mar 2024,Land Crossings,Food,WFP,15
16351,5 Mar 2024,Land Crossings,Shelter Equipment,Terre des hommes,10
16352,5 Mar 2024,Land Crossings,Shelter Equipment,ICRC,15
16353,5 Mar 2024,Land Crossings,Food,UNRWA,30
16354,5 Mar 2024,Land Crossings,Food,WCK,15
16355,5 Mar 2024,Land Crossings,Food,UNRWA,30
16356,5 Mar 2024,Land Crossings,Food,WFP,15
16357,5 Mar 2024,Land Crossings,Food,WFP,15
16358,5 Mar 2024,Land Crossings,Food,UNRWA,30
16359,5 Mar 2024,Land Crossings,Food,WFP,15
16360,5 Mar 2024,Land Crossings,Shelter Equipment,WCK,15
16361,5 Mar 2024,Land Crossings,Food,UNRWA,30
16362,5 Mar 2024,Land Crossings,Food,WFP,15
16363,5 Mar 2024,Land Crossings,Food,WFP,15
16364,5 Mar 2024,Land Crossings,Food,UNRWA,30
16365,5 Mar 2024,Land Crossings,Food,WFP,15
16366,5 Mar 2024,Land Crossings,Food,UNRWA,30
16367,5 Mar 2024,Land Crossings,Food,ICRC,20
16368,5 Mar 2024,Land Crossings,Food,WFP,30
16369,5 Mar 2024,Land Crossings,Food,WCK,20
16370,5 Mar 2024,Land Crossings,Food,UNRWA,30
16371,5 Mar 2024,Land Crossings,Food,UNRWA,30
16372,5 Mar 2024,Land Crossings,Food,WFP,30
16373,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16374,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16375,5 Mar 2024,Land Crossings,Food,WFP,15
16376,5 Mar 2024,Land Crossings,Food,UNRWA,30
16377,5 Mar 2024,Land Crossings,Food,WFP,30
16378,5 Mar 2024,Land Crossings,Food,WFP,15
16379,5 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16380,5 Mar 2024,Land Crossings,Food,WFP,30
16381,5 Mar 2024,Land Crossings,Food,WFP,15
16382,5 Mar 2024,Land Crossings,Food,UNRWA,30
16383,5 Mar 2024,Land Crossings,Food,WFP,15
16384,5 Mar 2024,Land Crossings,Food,UNRWA,30
16385,5 Mar 2024,Land Crossings,Food,UNRWA,30
16386,5 Mar 2024,Land Crossings,Food,UNRWA,30
16387,5 Mar 2024,Land Crossings,Food,WCK,20
16388,5 Mar 2024,Land Crossings,Food,UNRWA,30
16389,5 Mar 2024,Land Crossings,Food,UNRWA,30
16390,5 Mar 2024,Land Crossings,Food,UNRWA,30
16391,5 Mar 2024,Land Crossings,Food,WFP,15
16392,5 Mar 2024,Land Crossings,Food,WFP,15
16393,5 Mar 2024,Land Crossings,Food,WFP,30
16394,5 Mar 2024,Land Crossings,Food,UNRWA,30
16395,5 Mar 2024,Land Crossings,Food,UNRWA,30
16396,5 Mar 2024,Land Crossings,Food,WFP,15
16397,5 Mar 2024,Land Crossings,Food,UNRWA,30
16398,5 Mar 2024,Land Crossings,Food,UNRWA,30
16399,5 Mar 2024,Land Crossings,Food,WFP,30
16400,5 Mar 2024,Land Crossings,Food,UNRWA,30
16401,5 Mar 2024,Land Crossings,Food,WFP,30
16402,5 Mar 2024,Land Crossings,Food,UNRWA,30
16403,5 Mar 2024,Land Crossings,Food,WCK,20
16404,5 Mar 2024,Land Crossings,Food,WCK,20
16405,5 Mar 2024,Land Crossings,Gas,Private sector,23
16406,5 Mar 2024,Land Crossings,Gas,Private sector,23
16407,5 Mar 2024,Land Crossings,Gas,Private sector,23
16408,5 Mar 2024,Land Crossings,Gas,Private sector,23
16409,6 Mar 2024,Land Crossings,Food,Qatar,20
16410,6 Mar 2024,Land Crossings,Combined Aid,CRS,15
16411,6 Mar 2024,Land Crossings,Combined Aid,CRS,15
16412,6 Mar 2024,Land Crossings,Combined Aid,CRS,15
16413,6 Mar 2024,Land Crossings,Combined Aid,CRS,15
16414,6 Mar 2024,Land Crossings,Combined Aid,Pakistan,15
16415,6 Mar 2024,Land Crossings,Food,Turkey,20
16416,6 Mar 2024,Land Crossings,Combined Aid,Turkey,15
16417,6 Mar 2024,Land Crossings,Food,Turkey,20
16418,6 Mar 2024,Land Crossings,Food,Turkey,20
16419,6 Mar 2024,Land Crossings,Food,Turkey,20
16420,6 Mar 2024,Land Crossings,Food,Turkey,20
16421,6 Mar 2024,Land Crossings,Food,Turkey,20
16422,6 Mar 2024,Land Crossings,Combined Aid,Turkey,15
16423,6 Mar 2024,Land Crossings,Food,Private sector,20
16424,6 Mar 2024,Land Crossings,Medical Supplies,UAE,-
16425,6 Mar 2024,Land Crossings,Fuel,UAE,-
16426,6 Mar 2024,Land Crossings,Medical Supplies,UAE,-
16427,6 Mar 2024,Land Crossings,Medical Supplies,UAE,-
16428,6 Mar 2024,Land Crossings,Medical Supplies,UAE,-
16429,6 Mar 2024,Land Crossings,Medical Supplies,UAE,-
16430,6 Mar 2024,Land Crossings,Medical Supplies,UAE,-
16431,6 Mar 2024,Land Crossings,Medical Supplies,UAE,-
16432,6 Mar 2024,Land Crossings,Medical Supplies,UAE,-
16433,6 Mar 2024,Land Crossings,Medical Supplies,UAE,-
16434,6 Mar 2024,Land Crossings,Medical Supplies,UAE,-
16435,6 Mar 2024,Land Crossings,Medical Supplies,UAE,-
16436,6 Mar 2024,Land Crossings,Medical Supplies,UAE,-
16437,6 Mar 2024,Land Crossings,Food,WFP,15
16438,6 Mar 2024,Land Crossings,Food,WFP,15
16439,6 Mar 2024,Land Crossings,Food,WFP,20
16440,6 Mar 2024,Land Crossings,Food,WFP,15
16441,6 Mar 2024,Land Crossings,Food,WFP,20
16442,6 Mar 2024,Land Crossings,Food,WFP,25
16443,6 Mar 2024,Land Crossings,Food,WFP,25
16444,6 Mar 2024,Land Crossings,Food,WFP,25
16445,6 Mar 2024,Land Crossings,Food,WFP,25
16446,6 Mar 2024,Land Crossings,Food,WFP,25
16447,6 Mar 2024,Land Crossings,Food,WFP,15
16448,6 Mar 2024,Land Crossings,Food,WFP,15
16449,6 Mar 2024,Land Crossings,Food,WFP,15
16450,6 Mar 2024,Land Crossings,Food,WFP,15
16451,6 Mar 2024,Land Crossings,Food,WFP,15
16452,6 Mar 2024,Land Crossings,Food,WFP,15
16453,6 Mar 2024,Land Crossings,Food,WFP,15
16454,6 Mar 2024,Land Crossings,Food,WFP,20
16455,6 Mar 2024,Land Crossings,Food,WFP,20
16456,6 Mar 2024,Land Crossings,Shelter Equipment,WFP,5
16457,6 Mar 2024,Land Crossings,Food,WFP,25
16458,6 Mar 2024,Land Crossings,Food,WFP,25
16459,6 Mar 2024,Land Crossings,Food,WFP,20
16460,6 Mar 2024,Land Crossings,Food,WFP,25
16461,6 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16462,6 Mar 2024,Land Crossings,Food,ICRC,15
16463,6 Mar 2024,Land Crossings,Food,UNRWA,30
16464,6 Mar 2024,Land Crossings,Food,WCK,20
16465,6 Mar 2024,Land Crossings,Food,UNRWA,30
16466,6 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16467,6 Mar 2024,Land Crossings,Food,UNRWA,30
16468,6 Mar 2024,Land Crossings,Food,WFP,30
16469,6 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,10
16470,6 Mar 2024,Land Crossings,Food,WCK,20
16471,6 Mar 2024,Land Crossings,Food,UNRWA,30
16472,6 Mar 2024,Land Crossings,Food,UNRWA,30
16473,6 Mar 2024,Land Crossings,Food,WFP,15
16474,6 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16475,6 Mar 2024,Land Crossings,Food,WFP,15
16476,6 Mar 2024,Land Crossings,Food,WFP,15
16477,6 Mar 2024,Land Crossings,Food,WFP,30
16478,6 Mar 2024,Land Crossings,Combined Aid,WHO,15
16479,6 Mar 2024,Land Crossings,Food,UNRWA,30
16480,6 Mar 2024,Land Crossings,Food,UNRWA,30
16481,6 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16482,6 Mar 2024,Land Crossings,Food,WFP,30
16483,6 Mar 2024,Land Crossings,Food,UNRWA,30
16484,6 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,10
16485,6 Mar 2024,Land Crossings,Shelter Equipment,WCK,15
16486,6 Mar 2024,Land Crossings,Food,WFP,15
16487,6 Mar 2024,Land Crossings,Food,WCK,20
16488,6 Mar 2024,Land Crossings,Food,UNRWA,30
16489,6 Mar 2024,Land Crossings,Medical Supplies,WHO,10
16490,6 Mar 2024,Land Crossings,Food,UNRWA,30
16491,6 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,15
16492,6 Mar 2024,Land Crossings,Food,UNRWA,30
16493,6 Mar 2024,Land Crossings,Food,UNRWA,30
16494,6 Mar 2024,Land Crossings,Food,WCK,20
16495,6 Mar 2024,Land Crossings,Food,WCK,20
16496,6 Mar 2024,Land Crossings,Food,WFP,30
16497,6 Mar 2024,Land Crossings,Food,WCK,20
16498,6 Mar 2024,Land Crossings,Food,UNRWA,30
16499,6 Mar 2024,Land Crossings,Food,WCK,20
16500,6 Mar 2024,Land Crossings,Food,UNRWA,30
16501,6 Mar 2024,Land Crossings,Food,UNRWA,30
16502,6 Mar 2024,Land Crossings,Shelter Equipment,ICRC,15
16503,6 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,10
16504,6 Mar 2024,Land Crossings,Food,WFP,15
16505,6 Mar 2024,Land Crossings,Food,WFP,15
16506,6 Mar 2024,Land Crossings,Food,WFP,30
16507,6 Mar 2024,Land Crossings,Food,WFP,15
16508,6 Mar 2024,Land Crossings,Medical Supplies,UNRWA,10
16509,6 Mar 2024,Land Crossings,Food,WFP,15
16510,6 Mar 2024,Land Crossings,Food,WFP,30
16511,6 Mar 2024,Land Crossings,Medical Supplies,WHO,10
16512,6 Mar 2024,Land Crossings,Food,WFP,30
16513,6 Mar 2024,Land Crossings,Medical Supplies,UNICEF,10
16514,6 Mar 2024,Land Crossings,Shelter Equipment,UNRWA,10
16515,6 Mar 2024,Land Crossings,Food,WFP,15
